m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
65.020	18.558	22.531	1.214
68.049	6.981	7.812	1.119
69.033	68.413	69.405	1.014
69.070	68.330	69.340	1.015
71.049	58.619	59.491	1.015
71.086	58.635	59.555	1.016
73.065	240.930	242.728	1.007
75.044	212.725	228.780	1.075
75.068	212.642	228.683	1.075
77.060	43.233	43.262	1.001
78.046	7.545	7.620	1.010
79.054	26.592	25.925	0.975
