"m.z"	"variable"	"d0_value"	"d6_value"	"d12_value"	"ES"	"replication"	"d0_log10value"	"d6_log10value"	"d12_log10value"
148.125	"ES0.5_1"	1.033	0.613	0.581	"ES0.5"	"1"	0.308137378638039	0.207634367388962	0.198931869932209
149.096	"ES0.5_1"	14.657	11.913	10.914	"ES0.5"	"1"	1.19470855157512	1.11102715102617	1.07605759576283
151.075	"ES0.5_1"	7.071	3.81	4.262	"ES0.5"	"1"	0.906927347308956	0.682145076373832	0.721150843749684
152.12	"ES0.5_1"	1.13	1.291	0.839	"ES0.5"	"1"	0.328379603438738	0.360025089189398	0.264581729238077
153.055	"ES0.5_1"	11.526	7.232	4.747	"ES0.5"	"1"	1.09781240736529	0.915505361754376	0.759441197133698
153.07	"ES0.5_1"	11.526	7.232	4.714	"ES0.5"	"1"	1.09781240736529	0.915505361754376	0.756940236046724
153.127	"ES0.5_1"	11.526	7.2	4.779	"ES0.5"	"1"	1.09781240736529	0.913813852383717	0.761852694466383
153.151	"ES0.5_1"	11.526	7.232	4.779	"ES0.5"	"1"	1.09781240736529	0.915505361754376	0.761852694466383
153.98	"ES0.5_1"	1.711	1.323	0.968	"ES0.5"	"1"	0.433129517580486	0.366049209800235	0.294025094095323
155.086	"ES0.5_1"	12.075	7.781	4.617	"ES0.5"	"1"	1.11644169753931	0.943543977153454	0.749504423876142
155.107	"ES0.5_1"	12.107	7.781	4.649	"ES0.5"	"1"	1.11750329942923	0.943543977153454	0.751971574736327
155.142	"ES0.5_1"	12.108	7.781	4.617	"ES0.5"	"1"	1.11753643271034	0.943543977153454	0.749504423876142
157.159	"ES0.5_1"	7.039	4.811	3.164	"ES0.5"	"1"	0.905202028662319	0.764250875438773	0.619510720838499
159.174	"ES0.5_1"	20.665	23.245	7.718	"ES0.5"	"1"	1.33575869337039	1.38462218845154	0.940416864681665
161.132	"ES0.5_1"	2.324	1.937	1.194	"ES0.5"	"1"	0.521661015112073	0.4679039465228	0.341236623238692
162.128	"ES0.5_1"	0.677	0.807	0.839	"ES0.5"	"1"	0.224533062606086	0.256958152560932	0.264581729238077
163.063	"ES0.5_1"	4.424	3.455	3.196	"ES0.5"	"1"	0.734319680859007	0.648847708372894	0.62283547952152
163.075	"ES0.5_1"	4.424	3.423	3.196	"ES0.5"	"1"	0.734319680859007	0.645716939369604	0.62283547952152
163.099	"ES0.5_1"	4.424	3.39	3.164	"ES0.5"	"1"	0.734319680859007	0.642464520242121	0.619510720838499
163.123	"ES0.5_1"	4.456	3.39	3.164	"ES0.5"	"1"	0.736874361648423	0.642464520242121	0.619510720838499
163.136	"ES0.5_1"	4.456	3.39	3.164	"ES0.5"	"1"	0.736874361648423	0.642464520242121	0.619510720838499
163.148	"ES0.5_1"	4.456	3.358	3.164	"ES0.5"	"1"	0.736874361648423	0.639287225910237	0.619510720838499
165.091	"ES0.5_1"	2.679	1.743	1.646	"ES0.5"	"1"	0.565729787831127	0.43822580760453	0.422589839851482
165.985	"ES0.5_1"	0.839	0.904	0.484	"ES0.5"	"1"	0.264581729238077	0.279666944048456	0.171433900943008
166.062	"ES0.5_1"	0.871	0.839	0.516	"ES0.5"	"1"	0.27207378750001	0.264581729238077	0.180699201296035
166.078	"ES0.5_1"	0.839	0.839	0.516	"ES0.5"	"1"	0.264581729238077	0.264581729238077	0.180699201296035
166.135	"ES0.5_1"	0.807	0.871	0.484	"ES0.5"	"1"	0.256958152560932	0.27207378750001	0.171433900943008
167.07	"ES0.5_1"	4.876	2.292	1.808	"ES0.5"	"1"	0.769081787118219	0.517459826540232	0.448397103457768
167.086	"ES0.5_1"	4.876	2.26	1.808	"ES0.5"	"1"	0.769081787118219	0.513217600067939	0.448397103457768
174.14	"ES0.5_1"	7.005	6.006	2.55	"ES0.5"	"1"	0.903361336255318	0.845470132981674	0.550228353055094
175.148	"ES0.5_1"	1.775	1.42	0.549	"ES0.5"	"1"	0.443262987458695	0.383815365980431	0.190051417759206
178.062	"ES0.5_1"	1.097	1.711	0.645	"ES0.5"	"1"	0.321598430465344	0.433129517580486	0.216165902285993
178.123	"ES0.5_1"	1.194	1.679	0.645	"ES0.5"	"1"	0.341236623238692	0.427972713608209	0.216165902285993
179.086	"ES0.5_1"	1.808	1.194	0.678	"ES0.5"	"1"	0.448397103457768	0.341236623238692	0.224791956492681
179.107	"ES0.5_1"	1.808	1.162	0.678	"ES0.5"	"1"	0.448397103457768	0.334855689617292	0.224791956492681
179.128	"ES0.5_1"	1.776	1.098	0.645	"ES0.5"	"1"	0.443419461782817	0.321805483857539	0.216165902285993
179.929	"ES0.5_1"	0.645	0.484	1.13	"ES0.5"	"1"	0.216165902285993	0.171433900943008	0.328379603438738
180.081	"ES0.5_1"	0.581	0.452	1.162	"ES0.5"	"1"	0.198931869932209	0.161966616364075	0.334855689617292
180.093	"ES0.5_1"	0.613	0.419	1.162	"ES0.5"	"1"	0.207634367388962	0.151982395457474	0.334855689617292
180.151	"ES0.5_1"	0.581	0.484	1.13	"ES0.5"	"1"	0.198931869932209	0.171433900943008	0.328379603438738
180.937	"ES0.5_1"	22.468	39.125	24.051	"ES0.5"	"1"	1.37047607954429	1.60341504541293	1.39882506696229
181.076	"ES0.5_1"	22.565	39.125	23.954	"ES0.5"	"1"	1.37226744409565	1.60341504541293	1.39714017074858
181.101	"ES0.5_1"	22.565	39.125	23.987	"ES0.5"	"1"	1.37226744409565	1.60341504541293	1.39771411680447
181.159	"ES0.5_1"	22.5	39.093	23.696	"ES0.5"	"1"	1.37106786227174	1.60306855399808	1.39262661647404
181.17	"ES0.5_1"	22.5	39.093	23.599	"ES0.5"	"1"	1.37106786227174	1.60306855399808	1.39091745249731
182.109	"ES0.5_1"	1.42	2.357	2.551	"ES0.5"	"1"	0.383815365980431	0.525951341248012	0.550350672301615
183.047	"ES0.5_1"	5.263	3.939	14.85	"ES0.5"	"1"	0.796782411701308	0.693639026161548	1.20002926655377
183.08	"ES0.5_1"	5.231	3.939	14.85	"ES0.5"	"1"	0.794557751254762	0.693639026161548	1.20002926655377
186.14	"ES0.5_1"	0.742	0.71	0.678	"ES0.5"	"1"	0.241048150671644	0.232996110392154	0.224791956492681
187.148	"ES0.5_1"	2.034	1.162	1.646	"ES0.5"	"1"	0.482015576450712	0.334855689617292	0.422589839851482
188.937	"ES0.5_1"	0.968	0.839	0.581	"ES0.5"	"1"	0.294025094095323	0.264581729238077	0.198931869932209
189.164	"ES0.5_1"	0.968	0.71	0.549	"ES0.5"	"1"	0.294025094095323	0.232996110392154	0.190051417759206
191.143	"ES0.5_1"	2.518	2.518	1.614	"ES0.5"	"1"	0.546295835121442	0.546295835121442	0.417305583244525
192.093	"ES0.5_1"	1.55	1.969	1.227	"ES0.5"	"1"	0.406540180433955	0.472610197596045	0.347720217034038
193.101	"ES0.5_1"	3.391	5.038	2.422	"ES0.5"	"1"	0.642563437104388	0.780893108687079	0.534280005205081
193.122	"ES0.5_1"	3.294	5.071	2.389	"ES0.5"	"1"	0.63286204010023	0.783260232872949	0.530071568837378
194.154	"ES0.5_1"	1.291	1.744	1.162	"ES0.5"	"1"	0.360025089189398	0.438384107034714	0.334855689617292
195.065	"ES0.5_1"	1.485	2.583	1.162	"ES0.5"	"1"	0.395326393069351	0.554246808166111	0.334855689617292
