"m.z","ES0_1","ES0_2","ES0_3","ES0.5_1","ES0.5_2","ES0.5_3","ES2.5_1","ES2.5_2","ES2.5_3","ES5_1","ES5_2","ES5_3","ES8_1","ES8_2","ES8_3","ES0","ES0.5","ES2.5","ES5","ES8"
"m102.128 ((C6H15N)H+) ",3.616,3.972,4.068,3.455,4.197,3.713,4.293,3.584,4.133,3.326,4.585,3.616,3.907,3.746,4.424,2.744,3.778,4.262,3.724,3.875
"m103.032 ((C3H6N2S)H+) ",15.334,18.271,26.278,23.694,21.208,23.21,20.822,13.204,29.894,21.886,36.866,28.7,23.599,21.435,28.376,14.816,17.722,19.436,21.815,19.66
"m103.042 ((C7H5N)+) ",15.334,18.238,26.31,23.726,21.208,23.242,20.822,13.139,29.894,21.887,36.866,28.732,23.664,21.403,28.408,14.816,17.722,19.468,21.815,19.692
"m103.075 ((C5H10O2)H+) ",15.27,18.271,26.31,23.694,21.272,23.113,20.822,13.075,29.829,21.887,36.963,28.797,23.599,21.403,28.344,14.784,17.69,19.5,21.735,19.531
"m103.112 ((C6H14O)H+) ",15.302,18.239,26.31,23.629,21.305,23.113,20.854,13.075,29.765,21.757,36.996,28.797,23.567,21.209,28.408,14.784,17.722,19.468,21.655,19.531
"m103.123 ((C5H14N2)H+) ",15.27,18.239,26.246,23.629,21.272,23.081,20.79,13.043,29.636,21.693,36.866,28.765,23.502,21.145,28.408,14.752,17.722,19.468,21.655,19.37
"m104.047 ((C4H8O3)+) ",1.678,2.034,3.196,2.615,3.39,2.841,2.163,2.325,2.68,2.906,3.132,2.841,3.164,3.035,4.004,2.195,2.357,2.357,2.402,3.132
"m104.049 ((C7H5N)H+) ",1.678,2.034,3.196,2.615,3.39,2.841,2.131,2.325,2.648,2.906,3.132,2.809,3.164,3.035,4.004,2.195,2.357,2.357,2.402,3.132
"m104.062 ((C8H8)+) ",1.711,2.066,3.196,2.551,3.39,2.841,2.163,2.357,2.68,2.874,3.164,2.809,3.196,3.002,4.036,2.26,2.357,2.389,2.402,3.164
"m105.037 ((C4H8OS)H+) ",33.216,34.444,34.797,38.832,42.22,49.964,69.078,13.267,87.802,130.853,141.64,153.368,210.082,207.881,246.413,31.829,41.349,53.353,121.94,197.659
"m105.057 ((C7H7N)+) ",33.151,34.476,34.797,38.928,42.188,49.932,69.046,13.299,87.769,130.853,141.576,153.4,210.05,207.881,246.445,31.829,41.316,53.321,122.021,197.659
"m105.070 ((C8H8)H+) ",33.151,34.476,34.797,38.896,42.188,49.932,69.046,13.299,87.769,130.885,141.576,153.335,210.05,207.913,246.381,31.893,41.349,53.224,122.021,197.627
"m106.078 ((C8H10)+) ",4.198,4.681,4.746,4.94,5.714,5.651,8.684,2.422,9.781,13.397,14.72,14.592,19.013,20.822,23.984,4.262,5.23,6.232,13.371,18.979
"m107.049 ((C7H6O)H+) ",24.986,23.565,31.798,35.252,36.639,40.707,47.417,39.283,57.101,55.294,62.075,56.072,59.294,57.975,60.459,24.664,32.957,45.127,55.717,58.202
"m107.086 ((C8H10)H+) ",24.986,23.597,31.733,35.188,36.607,40.642,47.417,39.316,57.166,55.294,61.946,56.104,59.262,57.878,60.523,24.664,32.925,45.095,55.717,58.202
"m108.057 ((C7H7O)H+) ",4.101,4.617,5.328,5.231,5.715,6.135,7.362,6.103,7.749,6.813,8.33,7.685,7.879,7.491,7.749,4.391,5.134,7.039,6.966,7.523
"m108.081 ((C7H9N)H+) ",4.101,4.617,5.36,5.231,5.748,6.103,7.362,6.135,7.749,6.845,8.394,7.685,7.944,7.458,7.846,4.423,5.102,7.104,7.046,7.555
"m108.093 ((C8H12)+) ",4.101,4.585,5.36,5.231,5.78,6.07,7.329,6.103,7.716,6.845,8.394,7.685,7.944,7.426,7.879,4.423,5.07,7.072,7.006,7.587
"m109.065 ((C7H8O)H+) ",19.659,20.661,23.115,23.115,23.342,24.728,22.114,32.798,26.795,23.277,27.795,25.923,23.274,24.245,25.761,19.305,20.499,24.05,23.775,24.148
"m109.076 ((C6H8N2)H+) ",19.692,20.661,23.051,23.115,23.342,24.728,22.114,32.734,26.859,23.309,27.795,25.89,23.242,24.277,25.826,19.273,20.531,24.083,23.856,24.148
"m109.089 ((C7H11N)+) ",19.692,20.596,22.986,23.147,23.375,24.696,22.114,32.669,26.827,23.309,27.762,25.858,23.242,24.342,25.826,19.305,20.466,23.986,23.856,24.084
"m109.101 ((C8H12)H+) ",19.756,20.628,22.922,23.147,23.343,24.632,22.114,32.669,26.827,23.309,27.762,25.858,23.242,24.342,25.794,19.273,20.434,24.018,23.816,24.084
"m110.060 ((C6H7NO)H+) ",2.034,2.26,3.746,2.227,3.197,2.906,2.486,3.745,3.52,3.035,2.906,3.325,3.358,2.744,3.487,2.324,2.841,2.486,2.321,2.841
"m110.073 ((C7H10O)+) ",2.034,2.26,3.746,2.227,3.229,2.906,2.518,3.745,3.52,3.035,2.906,3.325,3.358,2.809,3.487,2.324,2.809,2.454,2.281,2.841
"m110.084 ((C6H10N2)+) ",2.066,2.26,3.778,2.227,3.229,2.906,2.518,3.778,3.487,3.035,2.906,3.358,3.358,2.841,3.52,2.324,2.841,2.486,2.321,2.841
"m110.109 ((C8H14)+) ",2.131,2.163,3.843,2.227,3.229,2.906,2.583,3.745,3.617,3.067,2.938,3.39,3.293,2.874,3.52,2.324,2.841,2.486,2.321,2.874
"m111.080 ((C7H10O)H+) ",6.36,7.943,10.299,8.782,10.203,9.46,10.395,10.428,11.98,10.297,11.622,10.235,9.848,11.171,12.365,6.554,7.975,9.202,9.489,10.17
"m111.092 ((C6H10N2)H+) ",6.36,7.943,10.235,8.782,10.17,9.428,10.299,10.428,12.012,10.297,11.59,10.235,9.848,11.171,12.365,6.586,7.975,9.202,9.449,10.17
"m111.104 ((C7H13N)+) ",6.36,7.943,10.267,8.75,10.203,9.428,10.299,10.428,12.044,10.297,11.59,10.235,9.848,11.138,12.365,6.522,7.975,9.202,9.449,10.17
"m111.117 ((C8H14)H+) ",6.36,7.943,10.235,8.75,10.203,9.428,10.299,10.428,12.044,10.297,11.558,10.203,9.848,11.138,12.269,6.489,7.975,9.202,9.449,10.17
"m112.007 ((C6H5Cl)+) ",1.646,1.904,2.002,2.098,2.098,2.422,2.744,1.969,2.422,2.066,2.97,2.777,2.615,2.26,2.324,2.001,2.099,2.389,2.282,2.098
"m112.052 ((C6H8O2)+) ",1.582,1.904,2.098,2.131,2.131,2.454,2.809,2.001,2.454,2.131,2.906,2.712,2.68,2.26,2.292,2.001,2.099,2.422,2.322,2.098
"m112.088 ((C7H12O)+) ",1.549,1.969,2.098,2.098,2.163,2.454,2.906,2.001,2.422,2.098,2.97,2.744,2.712,2.292,2.324,1.969,2.066,2.389,2.322,2.163
"m112.112 ((C7H13N)H+) ",1.549,2.001,2.195,2.131,2.163,2.454,2.906,2.034,2.422,2.098,3.035,2.809,2.712,2.26,2.292,1.969,2.066,2.454,2.322,2.163
"m113.015 ((C6H5Cl)H+) ",6.909,7.717,10.397,10.106,12.56,11.172,10.72,12.204,11.591,10.332,12.302,11.139,10.913,11.978,13.752,5.78,8.653,8.782,9.728,9.46
"m113.060 ((C6H8O2)H+) ",6.877,7.685,10.333,10.042,12.657,11.139,10.72,12.139,11.559,10.171,12.27,11.172,10.849,12.107,13.752,5.651,8.718,8.749,9.849,9.428
"m113.096 ((C7H12O)H+) ",6.941,7.588,10.397,10.01,12.625,11.107,10.817,12.139,11.526,10.106,12.141,11.172,10.849,12.075,13.784,5.651,8.718,8.717,9.929,9.493
"m113.107 ((C6H12N2)H+) ",6.974,7.556,10.397,10.01,12.625,11.107,10.817,12.172,11.526,10.106,12.109,11.172,10.913,12.075,13.784,5.683,8.75,8.717,9.969,9.493
"m114.091 ((C6H11NO)H+) ",8.782,9.881,10.85,9.75,9.332,9.751,9.007,8.588,9.653,10.235,9.912,9.461,10.526,10.171,9.783,8.783,9.137,9.009,10.65,10.492
"m114.128 ((C7H15N)H+) ",8.75,9.913,10.818,9.75,9.364,9.783,9.007,8.652,9.621,10.235,9.912,9.428,10.526,10.236,9.718,8.783,9.17,9.009,10.69,10.492
"m115.075 ((C6H10O2)H+) ",6.877,7.46,8.331,7.459,9.267,9.72,11.267,7.329,10.849,10.299,9.88,10.494,9.751,11.203,11.527,6.749,8.621,8.718,9.97,9.944
"m115.112 ((C7H14O)H+) ",6.812,7.46,8.331,7.427,9.235,9.623,11.3,7.265,10.913,10.331,9.847,10.526,9.783,11.171,11.527,6.749,8.653,8.847,10.01,9.912
"m115.123 ((C6H14N2)H+) ",6.78,7.46,8.331,7.427,9.267,9.655,11.396,7.265,10.945,10.331,9.847,10.558,9.783,11.203,11.527,6.749,8.653,8.879,10.01,9.912
"m116.143 ((C7H17N)H+) ",1.646,1.84,2.163,2.034,1.872,2.486,2.034,1.743,2.518,2.454,3.326,2.777,2.034,2.066,2.97,1.259,1.839,1.743,1.962,1.937
"m117.070 ((C9H8)H+) ",25.534,28.603,31.283,30.152,30.153,33.961,38.352,30.184,38.125,43.225,42.999,40.031,42.157,44.549,46.191,25.795,30.248,34.996,42.152,44.546
"m117.078 ((C5H11NO2)+) ",25.534,28.603,31.25,30.152,30.153,33.928,38.352,30.184,38.093,43.225,42.999,40.063,42.125,44.549,46.191,25.795,30.248,35.028,42.152,44.514
"m117.091 ((C6H12O2)H+) ",25.567,28.603,31.25,30.152,30.153,33.928,38.384,30.216,38.093,43.193,42.999,40.063,42.157,44.516,46.224,25.86,30.248,35.06,42.032,44.514
"m117.102 ((C5H12N2O)H+) ",25.534,28.571,31.218,30.119,30.153,33.896,38.384,30.248,38.093,43.161,42.903,40.063,42.125,44.452,46.256,25.86,30.248,35.06,41.952,44.482
"m117.127 ((C7H16O)H+) ",25.244,28.378,30.96,30.119,29.959,33.767,38.158,30.184,37.996,43.064,42.644,39.934,42.028,44.323,46.288,25.408,30.119,34.996,41.792,44.224
"m118.065 ((C8H7N)H+) ",2.389,2.647,2.615,2.615,2.615,3.067,3.293,2.195,3.293,3.358,3.293,3.972,4.294,3.487,3.746,2.131,2.647,2.68,3.443,3.616
"m118.078 ((C9H10)+) ",2.357,2.647,2.647,2.615,2.583,3.067,3.261,2.227,3.326,3.358,3.325,3.939,4.326,3.455,3.746,2.131,2.615,2.68,3.443,3.616
"m118.081 ((C6H14S)+) ",2.357,2.647,2.647,2.615,2.583,3.067,3.229,2.227,3.326,3.358,3.325,3.907,4.358,3.455,3.746,2.131,2.615,2.68,3.443,3.616
"m118.086 ((C5H11NO2)H+) ",2.357,2.647,2.647,2.583,2.583,3.067,3.261,2.227,3.326,3.358,3.357,3.907,4.358,3.455,3.746,2.131,2.615,2.68,3.443,3.616
"m119.060 ((C7H6N2)H+) ",5.554,6.942,10.557,9.719,14.915,14.817,12.72,9.88,12.557,10.429,10.527,11.397,9.912,8.33,11.333,3.713,11.333,13.688,11.77,11.591
"m119.086 ((C9H10)H+) ",5.522,6.877,10.59,9.719,14.882,14.85,12.72,9.848,12.557,10.397,10.494,11.429,10.009,8.363,11.365,3.745,11.3,13.721,11.81,11.527
"m120.081 ((C8H9N)H+) ",1.097,1.033,1.356,1.291,1.646,1.194,1.42,1.808,1.808,1.356,1.356,1.517,1.388,1.323,1.873,0.742,1.873,1.485,1.601,1.291
"m121.052 ((C7H7NO)+) ",16.658,18.11,18.305,21.273,21.403,23.985,26.344,16.689,28.699,28.505,28.409,25.537,29.827,27.247,30.023,18.562,19.853,25.6,29.423,26.825
"m121.065 ((C8H8O)H+) ",16.658,18.11,18.338,21.241,21.436,23.985,26.344,16.689,28.699,28.505,28.376,25.537,29.859,27.247,30.055,18.594,19.853,25.567,29.343,26.825
"m121.089 ((C8H11N)+) ",16.691,18.11,18.305,21.241,21.436,24.017,26.312,16.593,28.634,28.472,28.28,25.504,29.827,27.215,30.088,18.562,19.821,25.535,29.263,26.825
"m121.101 ((C9H12)H+) ",16.691,18.142,18.273,21.241,21.436,24.017,26.312,16.593,28.634,28.472,28.247,25.504,29.827,27.247,30.055,18.562,19.821,25.503,29.263,26.761
"m122.060 ((C7H7NO)H+) ",2.583,2.518,2.357,2.26,3.003,3.132,2.518,1.937,3.746,3.552,3.616,3.002,3.842,3.261,4.1,2.26,3.002,3.423,3.923,4.456
"m122.084 ((C7H10N2)+) ",2.551,2.486,2.389,2.228,3.035,3.132,2.518,1.937,3.778,3.519,3.616,3.067,3.842,3.229,4.068,2.195,3.034,3.39,3.923,4.617
"m122.096 ((C8H11N)H+) ",2.551,2.486,2.422,2.228,3.035,3.132,2.551,1.97,3.778,3.519,3.649,3.067,3.81,3.197,4.068,2.163,3.034,3.423,3.923,4.617
"m123.092 ((C7H10N2)H+) ",9.042,8.459,8.751,9.719,8.976,9.75,9.009,9.298,11.01,9.816,9.685,9.944,9.073,10.042,10.138,8.105,7.975,9.105,9.329,9.655
"m124.039 ((C6H5NO2)H+) ",1.711,1.355,1.614,1.582,1.743,2.163,2.131,1.259,2.389,1.194,2.034,1.743,1.808,1.84,2.034,1.776,1.743,1.549,1.521,1.743
"m124.057 ((C4H7F2NO)H+) ",1.679,1.388,1.614,1.582,1.711,2.131,2.098,1.259,2.357,1.194,2.034,1.775,1.808,1.872,2.034,1.776,1.775,1.582,1.561,1.775
"m125.042 ((C7H8S)H+) ",6.296,7.846,7.135,6.942,7.975,8.33,8.007,8.686,8.75,7.685,9.46,8.137,8.685,8.33,9.397,6.362,9.17,8.363,9.168,8.491
"m125.060 ((C7H8O2)H+) ",6.296,7.846,7.135,6.942,7.943,8.33,8.039,8.751,8.75,7.685,9.46,8.202,8.749,8.362,9.429,6.362,9.17,8.33,9.208,8.491
"m125.071 ((C6H8N2O)H+) ",6.296,7.878,7.167,6.942,7.975,8.33,8.007,8.783,8.75,7.685,9.46,8.202,8.717,8.394,9.429,6.362,9.105,8.33,9.208,8.491
"m125.084 ((C7H11NO)+) ",6.296,7.91,7.167,6.942,7.975,8.33,8.007,8.751,8.717,7.685,9.46,8.202,8.717,8.459,9.364,6.33,9.137,8.363,9.208,8.459
"m125.096 ((C8H12O)H+) ",6.264,7.91,7.199,6.942,7.943,8.33,8.007,8.783,8.717,7.685,9.428,8.169,8.749,8.491,9.397,6.297,9.073,8.33,9.248,8.459
"m125.107 ((C7H12N2)H+) ",6.264,7.878,7.232,6.91,7.911,8.362,7.975,8.783,8.718,7.652,9.428,8.105,8.749,8.491,9.364,6.297,9.073,8.33,9.248,8.459
"m125.120 ((C8H15N)+) ",6.199,7.878,7.232,6.91,7.911,8.394,7.975,8.783,8.718,7.652,9.428,8.137,8.749,8.556,9.364,6.297,9.105,8.266,9.288,8.492
"m127.112 ((C8H14O)H+) ",7.652,9.588,13.882,12.526,15.691,15.335,13.816,25.117,15.56,14.593,14.626,14.495,14.787,13.43,15.754,6.717,13.237,13.946,13.25,13.591
"m127.136 ((C8H17N)+) ",7.62,9.556,13.882,12.526,15.659,15.335,13.816,25.084,15.528,14.593,14.497,14.495,14.787,13.43,15.754,6.652,13.204,13.914,13.25,13.527
"m127.903 ((Xe)+) ",1.905,1.969,2.357,2.195,2.26,2.905,2.777,3.003,2.938,2.712,2.615,2.55,2.389,2.583,2.712,1.872,2.712,2.26,2.081,2.389
"m128.120 ((C8H16O)+) ",1.969,1.905,2.389,2.357,2.389,3.099,3.132,3.842,3.003,2.906,2.551,2.55,2.518,2.841,2.971,1.969,2.841,2.357,2.282,2.583
"m128.143 ((C8H17N)H+) ",1.969,1.937,2.389,2.357,2.453,3.099,3.1,3.907,3.003,2.906,2.583,2.518,2.518,2.874,2.971,1.969,2.777,2.454,2.322,2.583
"m128.911 ((Xe)H+) ",7.556,8.006,10.235,7.652,8.879,9.137,9.556,6.78,9.46,9.622,9.556,10.363,9.945,9.008,10.428,7.2,8.62,9.297,10.568,10.912
"m129.045 ((C8H4N2)H+) ",7.556,7.91,10.364,7.91,9.105,9.395,9.782,7.62,9.751,9.88,9.847,10.654,10.656,9.396,10.687,7.394,8.782,9.459,10.969,11.235
"m129.070 ((C10H8)H+) ",7.524,7.91,10.461,7.91,9.073,9.428,9.815,7.62,9.686,9.88,9.847,10.622,10.656,9.396,10.687,7.394,8.814,9.459,11.009,11.203
"m129.091 ((C7H12O2)H+) ",7.524,7.877,10.429,7.813,9.073,9.46,9.847,7.652,9.686,9.816,9.879,10.59,10.656,9.396,10.654,7.426,8.847,9.459,11.009,11.171
"m129.127 ((C8H16O)H+) ",7.524,7.845,10.3,7.781,9.04,9.428,9.879,7.717,9.654,9.751,9.912,10.493,10.656,9.428,10.59,7.426,8.911,9.427,11.049,11.235
"m129.139 ((C7H16N2)H+) ",7.491,7.813,10.268,7.781,9.04,9.363,9.879,7.717,9.59,9.687,9.912,10.46,10.623,9.46,10.558,7.426,8.911,9.427,11.049,11.268
"m129.151 ((C8H19N)+) ",7.492,7.781,10.235,7.749,8.944,9.363,9.782,7.685,9.622,9.687,9.912,10.364,10.656,9.493,10.558,7.394,8.879,9.427,11.009,11.3
"m131.060 ((C8H6N2)H+) ",8.589,8.363,9.977,7.072,9.138,9.944,9.493,7.459,10.073,9.525,11.173,10.397,9.138,9.106,11.203,6.845,7.653,8.524,8.529,9.686
"m131.107 (propylbutanoateH+) ",8.492,8.363,9.945,7.105,9.074,9.944,9.461,7.491,10.041,9.493,11.141,10.365,9.138,9.106,11.106,6.877,7.653,8.589,8.529,9.783
"m131.143 ((C8H18O)H+) ",8.427,8.396,9.848,7.105,9.074,9.944,9.461,7.426,10.009,9.461,11.044,10.397,9.171,9.203,11.139,6.845,7.62,8.492,8.529,9.815
"m131.154 ((C7H18N2)H+) ",8.427,8.428,9.816,7.072,9.041,9.912,9.525,7.426,9.944,9.461,10.979,10.365,9.171,9.171,11.139,6.813,7.62,8.46,8.529,9.847
"m132.066 ((C5H9NO3)H+) ",0.807,1.259,1.291,1.065,1,1.194,1.356,0.904,1.323,1.388,1.646,0.839,1.711,1.517,1.227,1.001,0.742,1.259,1.121,1.259
"m132.102 ((C6H13NO2)H+) ",0.904,1.291,1.259,1.001,1,1.291,1.356,0.936,1.323,1.324,1.582,0.904,1.711,1.549,1.13,0.936,0.774,1.259,1.161,1.291
"m133.065 ((C9H8O)H+) ",2.744,4.101,5.426,4.037,6.169,7.267,6.459,6.588,6.556,4.748,7.267,7.751,5.587,4.941,7.687,2.292,3.552,4.134,3.925,4.101
"m133.101 ((C10H12)H+) ",2.712,3.842,5.103,3.875,5.943,6.879,6.265,6.265,6.201,4.618,6.815,7.428,5.329,4.651,7.396,2.356,3.488,3.908,3.844,4.037
"m135.080 ((C9H10O)H+) ",5.554,5.296,7.266,4.973,6.683,6.878,7.135,11.784,7.976,7.815,7.976,9.105,8.976,7.427,8.427,5.424,5.909,7.201,8.047,8.491
"m135.117 ((C10H14)H+) ",5.554,5.296,7.233,5.005,6.683,6.813,7.135,11.817,7.911,7.815,7.912,8.976,8.976,7.395,8.33,5.424,5.973,7.136,8.007,8.524
"m137.047 ((C7H7NO2)+) ",12.399,14.268,25.279,24.212,16.272,25.47,33.993,13.171,35.414,33.155,48.005,48.519,32.089,29.376,36.545,12.236,14.106,37.416,34.626,37.673
"m137.060 ((C8H8O2)H+_2) ",12.334,14.268,25.311,24.244,16.272,25.47,33.993,13.204,35.381,33.22,47.973,48.551,32.089,29.376,36.577,12.236,14.138,37.416,34.626,37.705
"m137.060 ((C8H8O2)H+) ",12.334,14.268,25.311,24.244,16.272,25.47,33.993,13.204,35.381,33.22,47.973,48.551,32.089,29.376,36.577,12.236,14.138,37.416,34.626,37.705
"m137.071 ((C7H8N2O)H+) ",12.302,14.268,25.343,24.277,16.272,25.502,33.993,13.204,35.349,33.22,47.973,48.519,32.089,29.344,36.577,12.236,14.106,37.416,34.666,37.705
"m137.132 ((C10H16)H+) ",12.27,14.301,25.343,24.309,16.143,25.567,33.993,13.204,35.382,33.188,48.038,48.519,31.992,29.376,36.642,12.171,13.977,37.416,34.586,37.641
"m139.148 (menthol_H2OH+) ",5.263,4.94,5.521,5.876,5.78,6.006,6.522,5.715,6.813,7.201,7.878,8.104,6.78,7.491,8.394,5.133,5.521,6.877,6.566,8.104
"m144.175 ((C9H21N)H+) ",1.355,1.259,1.84,1.937,1.776,2.26,2.195,2.227,1.646,1.969,1.937,1.872,2.292,2.195,2.099,1.517,1.291,1.646,1.841,1.614
"m145.076 ((C9H8N2)H+) ",17.561,19.047,21.144,18.401,22.566,20.919,22.081,12.525,24.503,25.823,25.372,26.343,25.826,28.279,29.15,18.175,21.661,22.017,26.179,25.374
"m145.122 (ethzlhexanoateH+) ",17.561,19.079,21.144,18.337,22.631,20.952,22.113,12.525,24.471,25.79,25.404,26.375,25.826,28.311,29.15,18.239,21.726,22.179,26.299,25.277
"m145.962 ((F6S)+) ",2.001,2.68,3.229,2.647,2.583,2.744,2.744,2.002,3.423,2.777,2.55,3.358,3.131,3.067,4.23,1.905,2.389,3.358,2.642,3.39
"m145.968 (C6Cl2H4+) ",2.001,2.68,3.229,2.647,2.583,2.712,2.744,2.066,3.423,2.809,2.55,3.358,3.131,3.035,4.23,1.905,2.389,3.358,2.642,3.39
"m146.970 ((F6S)H+) ",2.034,2.647,3.358,2.841,3.326,3.875,3.552,2.551,3.843,4.424,4.198,4.78,4.392,4.134,5.004,1.905,2.938,3.391,3.884,3.713
"m146.976 (C6Cl2H5+) ",2.034,2.647,3.358,2.809,3.326,3.875,3.552,2.583,3.81,4.424,4.166,4.715,4.36,4.134,5.004,1.872,2.938,3.391,3.884,3.713
"m148.088 ((C10H12O)+) ",0.581,0.452,0.742,0.581,1.097,0.871,0.872,1.097,0.71,0.872,0.936,0.742,1.13,0.807,1.194,0.387,0.775,0.774,0.8,1.614
"m148.125 ((C11H16)+) ",0.581,0.452,0.742,0.613,1.097,0.904,0.904,1.033,0.807,0.872,0.968,0.775,1.065,0.871,1.13,0.387,0.775,0.742,0.84,1.55
"m149.096 ((C10H12O)H+) ",3.067,3.649,6.006,11.913,15.95,21.242,34.058,6.297,33.544,38.253,39.675,37.419,39.351,40.384,38.996,2.292,10.783,26.084,39.469,38.996
"m151.075 ((C9H10O2)H+) ",2.68,2.841,3.971,3.81,5.586,6.586,8.653,4.617,9.073,10.17,10.525,9.525,9.945,10.203,10.494,2.712,4.714,6.942,9.168,8.717
"m152.120 ((C10H16O)+) ",0.678,0.904,0.904,1.291,0.904,1.291,1.872,1.388,1.84,1.711,2.034,1.549,1.969,1.517,1.905,0.871,1.001,1.356,1.561,1.453
"m153.055 ((C8H8O3)H+) ",5.715,6.619,7.103,7.232,6.425,7.296,6.845,6.457,7.975,7.879,7.329,7.749,8.395,7.653,8.104,6.232,6.296,6.619,8.488,7.103
"m153.070 ((C12H8)H+) ",5.747,6.587,7.103,7.232,6.425,7.296,6.878,6.425,7.975,7.847,7.329,7.749,8.395,7.62,8.136,6.232,6.296,6.587,8.488,7.103
"m153.127 ((C10H16O)H+) ",5.651,6.555,7.071,7.2,6.426,7.329,6.878,6.425,8.04,7.814,7.296,7.782,8.395,7.717,8.104,6.264,6.264,6.554,8.448,7.071
"m153.151 ((C10H19N)+) ",5.618,6.555,7.039,7.232,6.426,7.329,6.845,6.457,8.04,7.847,7.296,7.749,8.395,7.717,8.104,6.264,6.264,6.554,8.368,7.071
"m153.980 (C6Cl2H5 iso3ppm+) ",1.065,1.517,1.259,1.323,2.034,1.517,1.485,1.194,2.001,1.873,1.905,1.42,1.872,1.84,1.614,1.13,1.162,1.13,1.121,1.291
"m155.086 ((C12H10)H+) ",6.909,7.878,7.555,7.781,8.104,8.234,8.943,5.618,8.395,10.104,9.816,9.201,9.912,9.976,11.138,7.394,8.653,9.623,8.847,11.074
"m155.107 ((C9H14O2)H+) ",6.942,7.878,7.555,7.781,8.136,8.201,8.975,5.618,8.395,10.072,9.816,9.169,9.912,9.976,11.138,7.427,8.621,9.623,8.847,11.042
"m155.142 (menthoneH+) ",6.909,7.878,7.523,7.781,8.104,8.234,8.975,5.586,8.395,10.007,9.816,9.201,9.945,10.008,11.171,7.491,8.589,9.623,8.847,11.042
"m157.159 (mentholH+) ",3.939,4.294,5.101,4.811,5.521,5.295,5.393,4.908,5.845,4.65,6.199,5.618,5.295,6.135,6.295,5.198,5.295,5.198,6.206,5.199
"m159.174 ((C10H22O)H+) ",7.329,11.623,35.514,23.245,28.96,13.916,12.689,6.394,28.604,8.717,21.955,29.057,11.107,15.272,21.633,6.554,5.942,7.362,5.964,7.556
"m161.132 ((C12H16)H+) ",2.034,2.26,2.615,1.937,2.066,2.098,2.26,1.679,2.228,2.002,2.228,2.163,2.486,2.777,2.615,2.098,2.163,2.001,2.562,2.486
"m162.128 ((C11H15N)H+) ",0.323,0.678,0.678,0.807,0.742,0.516,0.839,0.936,0.871,0.71,0.613,0.904,0.678,0.613,1.033,0.678,0.872,0.581,1.001,0.678
"m163.063 ((C9H9NO2)+) ",3.972,3.842,4.456,3.455,4.456,4.165,4.229,3.584,4.327,3.649,4.714,4.133,4.94,5.166,5.328,3.422,3.681,4.327,5.165,5.392
"m163.075 ((C10H10O2)H+) ",3.972,3.842,4.488,3.423,4.456,4.165,4.229,3.584,4.359,3.649,4.746,4.133,4.94,5.166,5.295,3.422,3.681,4.294,5.165,5.392
"m163.099 ((C10H13NO)+) ",3.972,3.842,4.488,3.39,4.456,4.198,4.23,3.584,4.359,3.649,4.682,4.133,4.94,5.198,5.263,3.39,3.681,4.262,5.205,5.36
"m163.123 ((C10H14N2)H+) ",3.939,3.875,4.52,3.39,4.488,4.198,4.165,3.519,4.327,3.616,4.682,4.133,4.94,5.166,5.263,3.39,3.713,4.262,5.205,5.392
"m163.136 ((C11H17N)+) ",3.939,3.875,4.52,3.39,4.488,4.198,4.165,3.552,4.327,3.616,4.682,4.101,4.94,5.134,5.263,3.39,3.681,4.294,5.205,5.392
"m163.148 ((C12H18)H+) ",3.939,3.907,4.488,3.358,4.488,4.198,4.133,3.552,4.327,3.584,4.649,4.068,4.94,5.102,5.263,3.39,3.681,4.262,5.205,5.392
"m165.091 ((C10H12O2)H+) ",2.034,2.066,2.583,1.743,2.195,2.357,2.389,2.615,2.841,2.001,2.357,2.551,1.808,2.099,3.067,1.517,1.775,2.648,2.482,2.325
"m165.985 ((C3F6O)+) ",0.581,0.742,0.871,0.904,0.807,0.71,0.613,1.194,0.839,0.904,1.001,1.162,0.71,0.645,1.033,0.581,0.936,0.904,0.72,1.001
"m166.062 ((C9H10O3)+) ",0.613,0.775,0.871,0.839,0.839,0.742,0.645,1.227,0.839,0.904,1.033,1.129,0.645,0.71,1.097,0.613,0.936,0.904,0.76,0.968
"m166.078 ((C13H10)+) ",0.613,0.775,0.871,0.839,0.839,0.742,0.645,1.227,0.839,0.904,1.001,1.097,0.678,0.742,1.097,0.613,0.936,0.904,0.76,0.936
"m166.135 ((C11H18O)+) ",0.613,0.742,0.871,0.871,0.839,0.775,0.613,1.259,0.904,0.871,1.001,1.033,0.71,0.774,1.162,0.613,0.903,0.904,0.72,0.968
"m167.070 ((C9H10O3)H+) ",2.421,2.26,2.26,2.292,2.97,2.228,3.035,4.069,3.261,3.875,3.81,3.552,3.971,3.197,4.165,2.228,3.099,2.389,3.683,3.487
"m167.086 ((C13H10)H+) ",2.421,2.26,2.26,2.26,2.97,2.228,3.035,4.069,3.261,3.907,3.81,3.519,3.971,3.197,4.165,2.228,3.132,2.389,3.643,3.487
"m174.140 ((C13H18)+) ",6.039,5.198,6.489,6.006,6.49,5.78,5.295,4.1,5.359,5.941,5.522,5.521,5.295,4.94,4.972,6.361,6.587,5.94,6.206,6.296
"m175.148 ((C13H18)H+) ",1.388,1.259,1.227,1.42,1.485,2.098,1.517,1.194,1.485,1.452,1.711,1.937,1.517,1.097,1.194,0.807,1.356,1.42,1.321,1.55
